,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
454,79,NCT02467387,A Study to Assess the Effect of Intravenous Dose of (aMBMC) to Subjects With Non-ischemic Heart Failure,,Completed,Has Results,Non-Ischemic Heart Failure,Drug: Allogeneic Mesenchymal Bone Marrow Cells (aMBMC)|Drug: Lactated Ringer's Solution,Safety Will be Evaluated by Number of AE|Change in LVEF From Baseline to Day 90 Post-initial Infusion.,"CardioCell LLC|Stemedica Cell Technologies, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 2,23,Industry,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,STEM-104-M-CHF,"June 1, 2014","May 11, 2017","May 11, 2017","June 10, 2015","January 7, 2020","January 7, 2020","MedStar Washington Hospital Center, Washington, District of Columbia, United States|Emory University Hospital, Atlanta, Georgia, United States|Northwestern University Centers for Heart Failure Therapy, Chicago, Illinois, United States|Stony Brook Heart Institute, Stony Brook, New York, United States|Hospital of the University of Pennsylvania, Heart Failure and Transplant Program, Philadelphia, Pennsylvania, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/87/NCT02467387/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02467387
455,221,NCT01719640,MSC and BMMNC in Type 2 Diabetes Mellitus,,Completed,No Results Available,"Diabetes Mellitus, Type 2",Drug: infusion of BMMSCs|Drug: infusion BMMNCs|Drug: insulin,HbA1c|exogenous insulin requirements|fasting hemoglucose|fasting c-peptide|The incidence and severity of adverse events related to the stem cell infusion procedure,Fuzhou General Hospital,All,"40 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,22,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MSC-BMMNC-DM,January 2011,January 2014,January 2015,"November 1, 2012",,"April 25, 2018","Fuzhou General Hospital, Xiamen Univ, Fuzhou, Fujian, China",,https://ClinicalTrials.gov/show/NCT01719640
456,778,NCT04723303,Phase 1 Study of ULSC in Patients With Polymyositis (PM) and Dermatomyositis (DM),,Recruiting,No Results Available,Polymyositis|Dermatomyositis,Drug: Umbilical Cord Lining Stem Cells,Number of Subjects with Dose Limiting Toxicity (DLT) that begins during or following ULSC infusion as assessed within 24 hours.,"University of Florida|Restem, LLC.",All,"18 Years to 90 Years   (Adult, Older Adult)",Early Phase 1,22,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,DM/PM V2.0|IRB201903442|OCR33722,"October 6, 2021","April 20, 2023","April 20, 2023","January 25, 2021",,"April 20, 2022","University of Florida, Gainesville, Florida, United States",,https://ClinicalTrials.gov/show/NCT04723303
457,275,NCT04445220,A Study of Cell Therapy in COVID-19 Subjects With Acute Kidney Injury Who Are Receiving Renal Replacement Therapy,,"Active, not recruiting",No Results Available,COVID-19|Acute Kidney Injury|Sepsis,Biological: SBI-101,Safety and tolerability as measured by incidence of IP-related serious adverse events,"Sentien Biotechnologies, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,22,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",SBI-101-02,"November 19, 2020",March 2022,September 2022,"June 24, 2020",,"January 14, 2022","University of New Mexico School of Medicine, Albuquerque, New Mexico, United States|Medical University of South Carolina, Charleston, South Carolina, United States",,https://ClinicalTrials.gov/show/NCT04445220
458,46,NCT02641860,Clinical Trial of Allogenic Adipose Tissue-Derived Mesenchymal Progenitor Cells Therapy for Knee Osteoarthritis,,Completed,No Results Available,Osteoarthritis,Biological: Mesenchymal progenitor cells,"Safety, recording of Adverse Events and Serious Adverse Events|WOMAC Score|VAS Score|SF-36|The volume of articular cartilage|WORMS Score",Cellular Biomedicine Group Ltd.|RenJi Hospital,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 1,22,Industry|Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",CBMG-Allo-KOA-1.1,December 2015,March 2018,March 2018,"December 30, 2015",,"September 13, 2018","Department of Rheumatology,Ren Ji Hospital,School of Medicine,Shanghai Jiao Tong University,Shanghai,China, Shanghai, Shanghai, China",,https://ClinicalTrials.gov/show/NCT02641860
459,13,NCT02619851,A Clinical Trial to Evaluate the Safety and Efficacy of ALLO-ASC-DFU for Second Deep Degree Burn Injury Subjects,,"Active, not recruiting",No Results Available,Burn Injury,Biological: ALLO-ASC-DFU|Device: Conventional Therapy,Time of re-epithelialization|Safety (laboratory tests and adverse events)|Burn Scar Index|healing status of the wound evidenced by photography,"Anterogen Co., Ltd.",All,"18 Years and older   (Adult, Older Adult)",Phase 2,22,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ALLO-ASC-BI-201,December 2015,December 2022,June 2023,"December 2, 2015",,"July 21, 2021","Hallym university Medical Center, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT02619851
460,156,NCT01377870,Evaluation of Autologous Mesenchymal Stem Cell Transplantation (Effects and Side Effects) in Multiple Sclerosis,,Completed,No Results Available,Multiple Sclerosis,Biological: intravenous injection of mesenchymal stem cells|Biological: injection of cell free media,MRI metrics changes|Brain atrophy|number of sever relapses|EDSS|MSFC|quality of life|RAO Test|intravenous cell transplantation,Royan Institute,All,18 Years to 55 Years   (Adult),Phase 1|Phase 2,22,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",Royn-nerve-001,December 2011,March 2014,April 2014,"June 21, 2011",,"March 7, 2018","Royan Institute, Tehran, Iran, Islamic Republic of",,https://ClinicalTrials.gov/show/NCT01377870
461,250,NCT04961658,Advanced Mesenchymal Enhanced Cell THerapY for SepTic Patients,AMETHYST,Recruiting,No Results Available,Septic Shock,Biological: GEM00220,The safety of GEM00220 will be assessed by monitoring adverse events|Maximum Feasible Tolerated Dose,Northern Therapeutics,All,"18 Years and older   (Adult, Older Adult)",Phase 1,21,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CT-GEM-001,"August 11, 2021",September 2023,August 2024,"July 14, 2021",,"June 21, 2022","Lakeridge Health, Oshawa, Ontario, Canada|St. Michael's Hospital, Toronto, Ontario, Canada",,https://ClinicalTrials.gov/show/NCT04961658
462,172,NCT01144962,Dose-escalating Therapeutic Study of Allogeneic Bone Marrow Derived Mesenchymal Stem Cells for the Treatment of Fistulas in Patients With Refractory Perianal Crohn's Disease,,Completed,No Results Available,Crohn's Disease|Fistula,"Procedure: Localization, curettage of the fistulous tract and closure of the internal opening without MSC injection.|Procedure: Localization, curettage of the fistulous tract and closure of the internal opening with local MSC injection.",Safety and efficacy (fistula closure)|Clinical scores|Endoscopic scores|Quality of life|C-reactive protein (CRP)|Safety,Leiden University Medical Center|DigestScience,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,21,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",P10.102,June 2010,September 2014,December 2014,"June 16, 2010",,"December 30, 2014","Leiden University Medical Center (LUMC), Leiden, Zuid Holland, Netherlands",,https://ClinicalTrials.gov/show/NCT01144962
463,288,NCT01606215,Stem Cells in Rapidly Evolving Active Multiple Sclerosis,STREAMS,Completed,No Results Available,Multiple Sclerosis,Drug: Mesenchymal stem cells|Drug: Placebo,"Frequency, Timing and Severity of Adverse events in MSC and placebo groups as Assessed by CTCAE v4.0|Total number of GELs at weeks 4, 12 and 24 after MSC therapy|contrast enhancing lesions identified over months 1, 3 and 6 will be compared between treatment groups.|Comparison of contrast enhancing lesions between treatment periods|Combined unique MRI activity|Relapses|Progression of disability|Disease free patients|MSFC score|peripheral immune responses|Type 4 hypersensitivity reaction",Imperial College London,All,18 Years to 50 Years   (Adult),Phase 1|Phase 2,21,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",CRO1959|13HH0228,January 2013,August 2019,August 2019,"May 25, 2012",,"August 9, 2019","Imperial College Healthcare NHS Trust, London, United Kingdom",,https://ClinicalTrials.gov/show/NCT01606215
464,12,NCT02384499,"Treatment of Fecal Incontinence Using Allogenic-Adipose-derived Mesenchymal Stem Cells: A Prospective, Dose Escalation, Randomized, Placebo-controlled, Parallel-group, Single-blind, Single-center Pilot Study",,Completed,No Results Available,Fecal Incontinence,Biological: ALLO-ASC injection|Drug: Placebo,Clinically measured abnormality of laboratory tests and adverse events|Satisfaction as measured by Wexner Score,Yonsei University,All,"19 Years and older   (Adult, Older Adult)",Phase 1,21,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,3-2014-0271,December 2014,"June 30, 2017","June 30, 2017","March 10, 2015",,"August 13, 2018","Section of Colon and Rectal Surger, Department of Surgery, Yonsei University College of Medicine, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT02384499
465,9,NCT04821102,Investigator Initiated Trial to Evaluate Cartilage Regeneration by Arthroscopy After JOINTSTEM Administration,,Not yet recruiting,No Results Available,Degenerative Arthritis|Knee Arthritis,Biological: JOINTSTEM|Drug: Saline,Arthroscopy|WOMAC total score|WOMAC subscale score|VAS score|RAND-36|IKDC|Biopsy|Use of rescue medication|Kellgren-Lawrence grade,R-Bio,All,"20 Years and older   (Adult, Older Adult)",Not Applicable,21,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",BS-JS-IIT1,"July 1, 2023","August 1, 2024","December 31, 2024","March 29, 2021",,"September 28, 2022","Bethesda Hospital, Yangsan, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT04821102
466,4,NCT01090817,An Australian Study of Mesenchymal Stromal Cells for Crohn's Disease,,Completed,No Results Available,Crohn Disease,Drug: Mesenchymal stromal cells (MSC) for infusion,Clinical response to MSC: Reduction of Crohn's disease Activity score by 100 points or more at six weeks post start of therapy|Incidence of infusional toxicity|Induction of remission|Improved quality of life|Endoscopic improvement.,R.P.Herrmann|The Queen Elizabeth Hospital|Concord Hospital|Sir Charles Gairdner Hospital|The Alfred|Royal Perth Hospital,All,18 Years to 55 Years   (Adult),Phase 2,21,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,EC2009/123|CTN2010/0098,January 2010,June 2014,June 2015,"March 23, 2010",,"June 9, 2015","Department of Gastroenterology and Hepatology, Royal Perth Hospital, Perth, Western Australia, Australia",,https://ClinicalTrials.gov/show/NCT01090817
467,52,NCT04713878,Mesenchymal Stem Cells Therapy in Patients With COVID-19 Pneumonia,,Completed,No Results Available,Coronavirus Disease 2019 (COVID-19) Pneumonia,Other: Mesenchymal stem cells,Change of clinical symptoms as respiratory distress or need for oxygen support|Change of cytokine storm parameters|Change of pulmonary functions|Change of clinical symptoms,Kanuni Sultan Suleyman Training and Research Hospital,All,"18 Years to 90 Years   (Adult, Older Adult)",Not Applicable,21,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2020.05.20,"May 8, 2020","June 30, 2020","July 15, 2020","January 19, 2021",,"January 20, 2021","University of Health Sciences, Istanbul, Turkey","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/78/NCT04713878/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04713878
468,393,NCT03472742,An Follow-Up Study of Liver Cirrhosis,,Recruiting,No Results Available,Decompensated Liver Cirrhosis,Drug: Mesenchymal Stem Cell,Number of patients with adverse events (AEs) and serious AEs (SAEs)|Change of liver function evaluated by Child-Pugh Score|Improvement rate of Child-Pugh score|Improvement rate of Child-Pugh grade|Number of patients with abnormal systolic blood pressure (SBP) and diastolic blood pressure (DBP) findings|Number of patients with abnormal pulse rate findings|Number of patients with abnormal body temperature findings|Number of patients with abnormal electrocardiogram (ECG) findings|Number of patients with abnormal clinical chemistry parameters|Number of patients with abnormal clinical hematology parameters|Number of patients with abnormal urinalysis parameters,"Rohto Pharmaceutical Co., Ltd.",All,"20 Years and older   (Adult, Older Adult)",,21,Industry,Observational,Observational Model: Cohort|Time Perspective: Prospective,ADR-001-02,"March 7, 2018","December 31, 2022","June 30, 2023","March 21, 2018",,"April 27, 2022","Niigata University Medical & Dental Hospital, Niigata, Japan",,https://ClinicalTrials.gov/show/NCT03472742
469,204,NCT03117738,A Study to Evaluate the Safety and Efficacy of AstroStem in Treatment of Alzheimer's Disease,,Completed,Has Results,Alzheimer Disease,Drug: AstroStem|Other: Placebo-Control,Treatment Related Adverse Events|ADAS-Cog (Alzheimer's Disease Assessment Scale-cognitive Subscale)|MMSE (Mini-mental Status Examination)|CDR-SOB (Clinical Dementia Rating-Sum of Boxes)|NPI (Neuropsychiatric Inventory)|GDS (Geriatric Depression Scale)|ADCS-ADL (Alzheimer's Disease Cooperative Study Activities of Daily Living)|C-SSRS (Columbia Suicide Severity Rating Scale),Nature Cell Co. Ltd.,All,"50 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,21,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",AST-ADP2-US01,"May 9, 2017","June 26, 2019","August 31, 2019","April 18, 2017","July 9, 2021","August 10, 2021","ATP Clinical Research, Costa Mesa, California, United States|Syrentis Clinical Research, Santa Ana, California, United States|Valden Medical, Honolulu, Hawaii, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/38/NCT03117738/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/38/NCT03117738/SAP_001.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/38/NCT03117738/ICF_002.pdf",https://ClinicalTrials.gov/show/NCT03117738
