,Outcome Measures,count,enrolled
363,Rate of death or rehospitalization due to any cause and / or adverse reactions related to the procedure / product under investigation.|Death rate or rehospitalization due to cardiovascular causes|Rate of relevant arrhythmias in Holter of 24 hours|Relevant changes in N-terminal B-type natriuretic peptide (NT-proBNP) and High sensitivity troponin I (hsTnI) levels|Changes in the necrotic myocardial mass ratio|Changes of regional contractility|Changes in ejection fraction of the left ventricle|changes in left and right ventricular geometric remodeling|Changes in the score on the quality of life test Short Form 36 Healthy Survey (SF-36).|Changes in the score on the quality of life Kansas City Cardiomyopathy Questionnaire (KCCQ) test in cases of participants with heart failure will be used.,1,12
364,Change From Baseline in Visual Analog Scale (VAS) at 6 and 12 Weeks|Modified Mayo Clinic Performance Index for the Elbow|Defect Area of Tendon by Ultrasonography in Long Axis|Defect Area of Tendon by Ultrasonography in Short Axis,1,12
365,Safety-Number of Adverse Events|Efficacy-Sensitivity Recovery Using ASIA Scale|Efficacy-Changes in the Level of Chronic Pain Based on the IANR-SCIFRS Scale (Pain Section)|Efficacy- Changes in the Neurophysiological Parameters Measured as the Number of Patients With SSEPs (Somatosensory Evoked Potentials)|Efficacy-Urodynamic Studies in Terms of máximum Cystometric Capacity|Efficacy-modification of Magnetic Resonance Imaging (MRI),1,12
366,Feasibility and Safety of the Implementation of MSV in the Treatment of Osteoarthritis of the Knee.|Indication of Efficacy,1,12
367,Changes in IIEF-5 Score after stem cells injection|Changes in Peak Systolic Velocity (PSV) after stem cells injection|Changes in End Diastolic Velocity after stem cells injection|Changes in Resistive Index after stem cells injection|Changes in Pulsatility Index after stem cells injection|Changes in E-selectin expression after stem cells injection|Changes in Vascular Endothelial Growth Factor (VEGF) expression after stem cells injection|Changes in Bcl-2 expression after stem cells injection|Changes in microRNA 16 expression after stem cells injection|Changes in microRNA 126 expression after stem cells injection|Changes in Hba1c after stem cells injection|Changes in Fasting Blood Glucose after stem cells injection|Changes in total cholesterol after stem cells injection|Changes in low-density lipoprotein (LDL) after stem cells injection|Changes in high-density lipoprotein (HDL) after stem cells injection|Changes in Triglycerides (TG) level after stem cells injection|Number of participants with side effects after intracavernosal injection,1,12
368,Number of patients who didn't require the repeated surgical interventions|Tracheostomy decannulation,1,12
369,"Change of total score in WOMAC (Western Ontario and McMaster University Osteoarthritis Index) compared to baseline at 6 months after treatment|Change of score in WOMAC three subscales (Pain, stiffness, physical function)compared to baseline at 6 months after treatment|Change of score in 100 mm VAS (Visual Analogue Scale) compared to baseline|Change of score in IKDC(International Knee Documentation Committee)compared to baseline|Change of score in WORMS(Whole-Organ Magnetic Resonance iMaging Score) compared to baseline at 6 months after treatment|Change in K&L(Kellgren-Lawrence) grade compared to the baseline at 3 months and 6 months after treatment|Change in joint space width compared to the baseline at 3 months and 6 months after treatment|Change in mechanical axis, anatomical axis compared to the baseline at 3 months and 6 months after treatment",1,12
370,Safety and tolerability after hAMSCs injection.|The ratio of transplantable embryo in DOR patients after hAMSCs injection.|Ovarian function in DOR patients after hAMSCs injection.|Outcomes of IVF in DOR patients after hAMSCs injection.,1,12
371,Worsening kidney allograft rejection|Adverse Events,1,12
372,Number of Participant's whose Marrow-Derived MSCs Can be Expanded in vitro to > 50 million cells within two weeks|Change in participant QoL: XeQOL|Change in participant QoL: MDADI|Change in participant QoL: VAS|Change in participant Salivary Function: Unstimulated|Change in participant Salivary Function: Stimulated|Change in participant Salivary Gland Size,1,12
373,Child Pugh Score|Examination of liver function|MELD Score,1,12
374,"Number of participants of any Adverse Events (AEs)/Serious Adverse Events (SAEs) related investigational product|Determination of Dose-limiting toxicity (DLT) levels of EN001|Determination of Maximum tolerated dose (MTD) levels of EN001|Number of participants with Vital Signs abnormalities|Number of participants with clinically significant abnormalities of Physical Examinations|Number of participants with abnormalities of Laboratory Parameters|Number of participants with 12-lead Electrocardiography (ECG) abnormalities|Incidence of adverse events (AEs)|Number of participants with abnormalities of Vital Signs, Physical Findings, and Laboratory Parameters|Change from baseline in disease severity CMTNS-v2 score|Change from baseline in gait and balance functions|Change from baseline in the degree of muscle damage (%)|Change from baseline in nerve regeneration potential",1,12
375,"Adverse events; Amputation incidence, Death incidence & Rehospitalization incidence|Immunological reaction",1,12
376,To determine DLT (Dose limiting toxicity)|adverse events as assessed by CTCAE v5.0|ADAS-Cog 13 response rate|The Clinical Dementia Rating Sum of Boxes|Alzheimer's Disease Cooperative Study- instrumental items of the Activities of Daily Living Inventory|Caregiver-administered Neuropsychiatric Inventory|preliminary efficacy|K-MMSE,1,12
377,"Number of participants of any Adverse Events (AEs)/Serious Adverse Events (SAEs) related investigational product|Determination of Dose-limiting toxicity (DLT) levels of EN001|Determination of Maximum tolerated dose (MTD) levels of EN001|Number of participants with Vital Signs abnormalities|Number of participants with clinically significant abnormalities of Physical Examinations|Number of participants with abnormalities of Laboratory Parameters|Number of participants with abnormalities of 12-lead Electrocardiography (ECG)|Incidence of adverse events (AEs)|Number of participants with abnormalities of Vital Signs, Physical Findings, and Laboratory Parameters|Rate of change at the time of visit compared to baseline (percent [%]) in CK level|Change from baseline in Function tests",1,12
378,Change in number of adverse events and severe adverse events post-intervention|Number of grade ≥3 adverse reaction attributable to the γMSC product|Change in lung function test|In- vivo trafficking of MSCs after intravenous infusion|Upper airway inflammation of MSC treatment|Circulating inflammatory cells of MSC treatment|Biophysical characteristics of the cell products and correlation with clinical outcome,1,12
379,"Measurement of b-FGF, v-EGF MEASURED BY ELISA|Change of Nerve Conduction Velocities of Nerves Affected Measured by Nerve Conduction Study.|Change of Nerve Conduction Latency of Nerves Affected Measured by Nerve Conduction Study|Change of Nerve Conduction Amplitude of Nerves Affected Measured by Nerve Conduction Study.|Change of Levels of Fasting Blood Sugar and 2 Hours Post Prandial at Base Line ( Zero Day ) and After (90 Days) After Stem Cells Transfusion|Change of Levels of Glycated Haemoglobin( HA1C) After Stem Cells Transfusion Measured in Percent %",1,10
380,Incidence of acute adverse events|Incidence of delayed adverse events|Severity of adverse events|Relationship of adverse events to study drug|Incidence of serious adverse events (SAE)|Change in sensory and motor function following completion of treatment as measured by the American Spinal Injury Association (ASIA) Impairment Scale (AIS)|Change in sensory and motor function following completion of treatment as measured by motor evoked potentials (MEP)|Change in sensory and motor function following completion of treatment as measured by Somatosensory Evoked Potentials (SSEPs)|Number of subjects who develop a new pathologic mass at the spinal cord area of injection or anywhere along the spinal cord.|Change in number of red blood cells following treatment|Change in white blood cells with differential following treatment|Change in number of platelets following treatment|Change in Serum C-Reactive Protein (CRP)|Change in Erythrocyte Sedimentation Rate (ESR)|Change in Blood Urea Nitrogen (BUN)|Change in Creatinine|Change in Sodium|Change in Potassium|Change in Chloride|Change in Aspartate Aminotransferase (AST)|Change in Glucose|Change in Carbon Dioxide,1,10
381,"Safety: To evaluate the safety and feasibility of intramyocardial injection of LMSCs during the Stage II (BDCPA) operation for HLHS via incidence of Treatment-Emergent Serious Adverse Events.|Efficacy: Change from baseline in right ventricular ejection fraction (%).|Efficacy: Change from baseline in right ventricular end-systolic volume.|Efficacy: Change from baseline in right ventricular end-diastolic volume.|Efficacy: Change from baseline in right ventricular end-diastolic diameter.|Efficacy: Change from baseline tricuspid regurgitation.|Efficacy: Change in weight (in kilograms).|Efficacy: Change in height (in centimeters).|Efficacy: Change in head circumference (in centimeters).|Efficacy: Number of patients with Treatment-Emergent Adverse Events, and total number of occurrences of Treatment-Emergent Adverse Events, through-out participation in trial.",1,10
382,Incidence of Serious Adverse Events|Number of patients with Hepatocellular carcinoma (primary liver cancer) development|Incidence of Adverse Events|Liver stiffness measurement|How well the Liver is functioning|Chronic liver disease as assessed by the Child-Pugh score|Model for End-Stage Liver Disease (MELD) Score|Overall survival|Quality of life as assessed by 36-Item Short Form Survey (SF-36) Questionnaire,1,10
383,Number of Participants with Adverse Events as a Measure of Safety and Tolerability,1,10
384,Evaluation of the safety and tolerability of the intra articular injection|Assessment of the efficacy of intra-articular injection of WJMSC,1,10
385,"Safety Evaluation assessed by Tumor Marker Test.|Safety Evaluation assessed by Serious Adverse Events, cancer incidence and recurrence of prostate cancer.|Safety Evaluation assessed by Vital Signs.",1,10
386,"Composite indicators, including quantitative analysis of CT density histograms, self-evaluation and changes of TGF-β1 content|Safety Evaluation|Clinical Indicator 1: change in blood gas analysis|Clinical Indicator 2: change in pulmonary function analysis|Clinical Indicator 3: 6-minute walk test distance|Clinical Indicator 4: change in MRC chronic dyspnea scale|Clinical Indicator 5: change in St. George's Respiratory Questionnaire (SGRQ) scale|Immunological Indicator in serum 1: T lymphocyte counts in peripheral blood|Immunological Indicator in serum 2: response level of CD4+ T lymphocyte subsets (such as Th1 / Th2)|Immunological Indicator in serum 3: concent of immunoglobulin|Immunological Indicator in serum 4: expression levels of various cytokines (IL-1, IL-3, IL-6, IL-8, TNF-α, GM-CSF, etc)|Immunological Indicator in serum 5: subtype analysis and phagocytic activity analysis of macrophage|Immunological Indicator in serum 6: expression levels of IL-12, IL-10|Immunological Indicator in lavage fluid 1: T lymphocyte counts in peripheral blood|Immunological Indicator in lavage fluid 2: response level of CD4+ T lymphocyte subsets (such as Th1 / Th2)|Immunological Indicator in lavage fluid 3: concent of immunoglobulin|Immunological Indicator in lavage fluid 4: expression levels of various cytokines (IL-1, IL-3, IL-6, IL-8, TNF-α, GM-CSF, etc)|Immunological Indicator in lavage fluid 5: subtype analysis and phagocytic activity analysis of macrophage|Immunological Indicator in lavage fluid 6: expression levels of IL-12, IL-10|Inflammatory Indicators: measured by routine blood test including C-reactive protein (CRP)|Fibrosis Indicators in serum 1: content of transforming growth factor -α/β (TGF-α/TGF-β)|Fibrosis Indicators in serum 2: content of hydroxyproline|Fibrosis Indicators in serum 3: content of matrix metalloproteinase 1/7(MMP1/MMP7)|Fibrosis Indicators in lavage fluid 1: content of transforming growth factor -α/β (TGF-α/TGF-β)|Fibrosis Indicators in lavage fluid 2: content of hydroxyproline|Fibrosis Indicators in lavage fluid 3: content of matrix metalloproteinase 1/7(MMP1/MMP7)",1,10
